X,Y,OBJECTID,Provincia,Municipio,Localidad,Código_postal,Dirección,Margen,Longitud,Latitud,Precio_gasolina_95,Precio_gasóleo_A,Precio_gasóleo_B,Precio_bioetanol,Precio_nuevo_gasóleo_A,Precio_biodiesel,F__éster_metílico,F__bioalcohol,Precio_gasolina_98,Precio_gas_natural_comprimido,Precio_gas_natural_licuado,Precio_gases_licuados_del_petró,Rótulo,Tipo_venta,Rem_,Horario,fecha
-2.519194,42.842917,1,ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,1240,"CALLE GASTEIZBIDEA, 59",D,-2.519194,42.842917,1.159,1.069,,,,,,,,,,,ES DULANTZI REPSOL,P,,L-D: 07:00-20:00,2020/05/19 00:00:00+00
-2.509361,42.846028,2,ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,1240,"CL MANISITU, 9",D,-2.509361,42.846028,,1.039,0.726,,,,,,,,,,"PREMIRA ENERGIA NORTE, S.L.",P,,L-D: 24H,2020/05/19 00:00:00+00
-2.989111,43.044333,3,ÁLAVA,AMURRIO,LARRINBE,1468,"POLIGONO ZANKUETA, 0",D,-2.989111,43.044333,1.069,0.979,,,1.059,,,,1.189,,,,ESTACIONES GB,P,,L-D: 24H,2020/05/19 00:00:00+00
-2.967611,43.031889,4,ÁLAVA,AMURRIO,LEZAMA,1450,"CARRETERA A-624 KM. 37,8",D,-2.967611,43.031889,1.159,1.069,,,1.129,,,,1.284,,,,CEPSA,P,,L-D: 06:00-22:00,2020/05/19 00:00:00+00
-2.477917,42.753194,5,ÁLAVA,ARRAIA-MAEZTU,MAEZTU/MAESTU,1120,CARRETERA A-132 VITORIA-ESTELLA KM. 23,I,-2.477917,42.753194,1.25,1.145,,,,,,,1.315,,,,(SIN RÓTULO),P,,L-D: 07:00-23:00,2020/05/19 00:00:00+00
-2.639528,42.941417,6,ÁLAVA,ARRAZUA-UBARRUNDIA,LUKO,1510,"N-240-B km 11,8",D,-2.639528,42.941417,1.159,1.079,,,1.149,,,,1.284,,,,CEPSA,P,,L-D: 09:00-21:00,2020/05/19 00:00:00+00
-2.616361,42.876861,7,ÁLAVA,ARRAZUA-UBARRUNDIA,ZURBANO,1520,AUTOVIA N-1 km 358,N,-2.616361,42.876861,1.149,1.059,,,1.129,1.129,,,1.273,,,,AVIA,P,,L-D: 24H,2020/05/19 00:00:00+00
-3.122528,43.123361,8,ÁLAVA,ARTZINIEGA,ARTZINIEGA,1474,"AVENIDA GARAY, 23",D,-3.122528,43.123361,1.125,1.045,0.635,,1.075,,,,1.255,,,,AVIA ,P,,L-V: 07:00-20:00,2020/05/19 00:00:00+00
-2.312056,42.870861,9,ÁLAVA,ASPARRENA,ARAIA,1250,"CALLE DEIDA, 6",D,-2.312056,42.870861,,0.96,,,,,,,,,,,ADS,P,,L-D: 24H,2020/05/19 00:00:00+00
-2.278694,42.866417,10,ÁLAVA,ASPARRENA,ILARDUIA,1260,"N-IA km 385,1",I,-2.278694,42.866417,1.119,1.039,,,1.099,,,,,,,,CEPSA,P,,L-D: 24H,2020/05/19 00:00:00+00
